Limitado,Cara,Muito,Paga,Acompanhado,Nao
Limitado,Cara,Muito,Gratuita,Desacompanhado,Sim
Limitado,Cara,Muito,Gratuita,Acompanhado,Nao
Limitado,Cara,Pouco,Paga,Desacompanhado,Nao
Limitado,Cara,Pouco,Gratuita,Desacompanhado,Sim
Limitado,Economica,Muito,Paga,Desacompanhado,Nao
Limitado,Economica,Muito,Gratuita,Desacompanhado,Sim
Limitado,Economica,Muito,Gratuita,Acompanhado,Nao
Limitado,Economica,Pouco,Paga,Acompanhado,Sim
Suficiente,Cara,Muito,Paga,Desacompanhado,Sim
Suficiente,Cara,Muito,Paga,Acompanhado,Nao
Suficiente,Cara,Muito,Gratuita,Desacompanhado,Sim
Suficiente,Cara,Muito,Gratuita,Acompanhado,Nao
Suficiente,Cara,Pouco,Paga,Desacompanhado,Sim
Suficiente,Cara,Pouco,Paga,Acompanhado,Nao
Suficiente,Cara,Pouco,Gratuita,Desacompanhado,Sim
Suficiente,Cara,Pouco,Gratuita,Acompanhado,Sim
Suficiente,Economica,Muito,Paga,Desacompanhado,Sim
Suficiente,Economica,Muito,Paga,Acompanhado,Nao
Suficiente,Economica,Muito,Gratuita,Desacompanhado,Sim
Suficiente,Economica,Pouco,Paga,Acompanhado,Sim
